date,gdp
2021-04-06,2050431
2021-04-07,2050431
2021-04-08,2050431
2021-04-09,2050431
2021-04-12,2050431
2021-04-13,2050431
2021-04-14,2050431
2021-04-15,2050431
2021-04-16,2050431
2021-04-19,2050431
2021-04-20,2050431
2021-04-21,2050431
2021-04-22,2050431
2021-04-23,2050431
2021-04-26,2050431
2021-04-27,2050431
2021-04-28,2050431
2021-04-29,2050431
2021-04-30,2050431
2021-05-03,2050431
2021-05-04,2050431
2021-05-05,2050431
2021-05-06,2050431
2021-05-07,2050431
2021-05-10,2050431
2021-05-11,2050431
2021-05-12,2050431
2021-05-13,2050431
2021-05-14,2050431
2021-05-17,2050431
2021-05-18,2050431
2021-05-19,2050431
2021-05-20,2050431
2021-05-21,2050431
2021-05-24,2050431
2021-05-25,2050431
2021-05-26,2050431
2021-05-27,2050431
2021-05-28,2050431
2021-05-31,2050431
2021-06-01,2050431
2021-06-02,2050431
2021-06-03,2050431
2021-06-04,2050431
2021-06-07,2050431
2021-06-08,2050431
2021-06-09,2050431
2021-06-10,2050431
2021-06-11,2050431
2021-06-14,2050431
2021-06-15,2050431
2021-06-16,2050431
2021-06-17,2050431
2021-06-18,2050431
2021-06-21,2050431
2021-06-22,2050431
2021-06-23,2050431
2021-06-24,2050431
2021-06-25,2050431
2021-06-28,2050431
2021-06-29,2050431
2021-06-30,2050431
2021-07-01,1986949
2021-07-02,1986949
2021-07-05,1986949
2021-07-06,1986949
2021-07-07,1986949
2021-07-08,1986949
2021-07-09,1986949
2021-07-12,1986949
2021-07-13,1986949
2021-07-14,1986949
2021-07-15,1986949
2021-07-16,1986949
2021-07-19,1986949
2021-07-20,1986949
2021-07-21,1986949
2021-07-22,1986949
2021-07-23,1986949
2021-07-26,1986949
2021-07-27,1986949
2021-07-28,1986949
2021-07-29,1986949
2021-07-30,1986949
2021-08-02,1986949
2021-08-03,1986949
2021-08-04,1986949
2021-08-05,1986949
2021-08-06,1986949
2021-08-09,1986949
2021-08-10,1986949
2021-08-11,1986949
2021-08-12,1986949
2021-08-13,1986949
2021-08-16,1986949
2021-08-17,1986949
2021-08-18,1986949
2021-08-19,1986949
2021-08-20,1986949
2021-08-23,1986949
2021-08-24,1986949
2021-08-25,1986949
2021-08-26,1986949
2021-08-27,1986949
2021-08-30,1986949
2021-08-31,1986949
2021-09-01,1986949
2021-09-02,1986949
2021-09-03,1986949
2021-09-06,1986949
2021-09-07,1986949
2021-09-08,1986949
2021-09-09,1986949
2021-09-10,1986949
2021-09-13,1986949
2021-09-14,1986949
2021-09-15,1986949
2021-09-16,1986949
2021-09-17,1986949
2021-09-20,1986949
2021-09-21,1986949
2021-09-22,1986949
2021-09-23,1986949
2021-09-24,1986949
2021-09-27,1986949
2021-09-28,1986949
2021-09-29,1986949
2021-09-30,1986949
2021-10-01,2399005
2021-10-04,2399005
2021-10-05,2399005
2021-10-06,2399005
2021-10-07,2399005
2021-10-08,2399005
2021-10-11,2399005
2021-10-12,2399005
2021-10-13,2399005
2021-10-14,2399005
2021-10-15,2399005
2021-10-18,2399005
